location,district,area,bed,latitude,longitude,price,type
"466 North Circular Road, North Circular Road, Dublin 7",7,261 m²,3 Bed,53.359251,-6.2599869,"€ 795,000",Terrace
"46A Howth Road, Sutton, Dublin 13",13,155 m²,4 Bed,53.3897774,-6.1087369,"€ 650,000",Detached
"47 Ardilea Crescent, Heidelberg, Ardilea, Clonskeagh, Dublin 14",14,118 m²,3 Bed,53.2962221,-6.2258484,"€ 800,000",Apartment
"47 Belarmine Heath, Stepaside, Dublin 18",18,71 m²,2 Bed,53.2601499,-6.2178761,"€ 285,000",Duplex
"47 Boyne Court, Harolds Cross, Harold's Cross, Dublin 6W",6W,61 m²,2 Bed,53.3280749,-6.2774077,"€ 295,000",Apartment
"47 Church Avenue, Drumcondra, Dublin 9",9,93 m²,2 Bed,53.3712864,-6.2502319,"€ 535,000",Terrace
"47 Cromwellsfort Road, Walkinstown, Dublin 12",12,72 m²,3 Bed,53.3173272,-6.3289132,"€ 380,000",Bungalow
"47 Marigold Grove, Darndale, Dublin 17",17,109 m²,4 Bed,53.3995536,-6.1926624,"€ 195,000",Terrace
"47 Marlfield Place, Kiltipper, Dublin 24",24,100 m²,3 Bed,53.2713799,-6.3698797,"€ 265,000",Terrace
"47 Newbury Avenue, Clonshaugh, Dublin 17",17,128 m²,3 Bed,53.4023191,-6.2135956,"€ 380,000",Semi-D
"47 Priorsgate, Tallaght, Dublin 24",24,null,2 Bed,53.2880499,-6.356652,"€ 235,000",Apartment
"47 Roseglen Avenue, Kilbarrack, Dublin 5",5,69 m²,3 Bed,53.3857271,-6.1599767,"€ 320,000",Terrace
"47 Rothe Abbey, Kilmainham, Dublin 8",8,62 m²,2 Bed,53.3373915,-6.3042515,"€ 375,000",Terrace
"47 St Josephs Road, Greenhills, Dublin 12",12,121 m²,3 Bed,53.3099366,-6.3322638,"€ 410,000",End of Terrace
"47 Tonlegee Road, Raheny, Dublin 5",5,null,5 Bed,53.3895817,-6.1945424,"€ 435,000",Semi-D
"47 Tonlegee Road, Raheny, Dublin 5",5,null,5 Bed,53.3895817,-6.1945424,"€ 435,000",Semi-D
"47 West Road, East Wall, Dublin 3",3,null,2 Bed,53.3561671,-6.2382883,"€ 349,950",Terrace
"475 Collins Avenue West, Whitehall, Dublin 9",9,98 m²,3 Bed,53.3828631,-6.2461224,"€ 390,000",Terrace
"48 Ambervale, Cookstown, Tallaght, Dublin 24",24,85 m²,3 Bed,53.2933911,-6.3869273,"€ 300,000",Semi-D
"48 Heatherview Avenue, Oldbawn, Tallaght, Dublin 24",24,null,3 Bed,53.2742688,-6.3691077,"€ 349,950",Semi-D
"48 Johnstown Park, Glenageary, Cabinteely, Dublin 18",18,111 m²,3 Bed,53.2680456,-6.1446541,"€ 625,000",Semi-D
"48 Llewellyn Park, Rathfarnham, Dublin 14",14,80 m²,3 Bed,53.2826674,-6.2635242,"€ 495,000",Detached
"48 Melville Drive, Meakstown, Finglas, Dublin 11",11,60 m²,2 Bed,53.4007995,-6.293636,"€ 195,000",Apartment
"48 Mount Pleasant Square, Ranelagh, Dublin 6",6,220 m²,4 Bed,53.3266284,-6.2597014,"€ 1,250,000",Terrace
"48 Rialto Cottages, Rialto, Dublin 8",8,39 m²,1 Bed,53.3370582,-6.2956469,"€ 285,000",Terrace
"48 Roebuck Downs, Clonskeagh, Dublin 14",14,112 m²,3 Bed,53.3032815,-6.2244451,"€ 635,000",Semi-D
"48 Thornberry Square, Clonee, Dublin 15",15,60 m²,2 Bed,53.4102465,-6.4392594,"€ 225,000",Apartment
"48 Weavers Court, Clondalkin, Dublin 22",22,59 m²,2 Bed,53.3458031,-6.3991984,"€ 175,000",Apartment
"482 South Circular Road, South Circular Road, Dublin 8",8,152 m²,4 Bed,53.3354819,-6.294909,"€ 450,000",Terrace
"485 North Circular Road, Dublin 7",7,106 m²,3 Bed,53.3599941,-6.2618483,"€ 380,000",End of Terrace
"49 Ashington Close, Navan Road, Navan Road (D7), Dublin 7",7,null,3 Bed,53.3750947,-6.3178358,"€ 435,000",Terrace
"49 Carrickmount Avenue, Rathfarnham, Dublin 14",14,72 m²,3 Bed,53.2893243,-6.2590045,"€ 450,000",Semi-D
"49 Cromwellsfort Road, Walkinstown, Dublin 12",12,72 m²,3 Bed,53.3173248,-6.3287389,"€ 450,000",Detached
"49 Fitzroy Avenue, Drumcondra, Dublin 3",3,98 m²,3 Bed,53.3623387,-6.2581043,"€ 550,000",Terrace
"49 Fortlawn Avenue, Blanchardstown, Dublin 15",15,null,3 Bed,53.3915798,-6.4008117,"€ 240,000",Terrace
"49 Glenmaroon Road, Palmerstown, Dublin 20",20,136 m²,4 Bed,53.3505641,-6.3706346,"€ 375,000",End of Terrace
"49 Loreto Row, Rathfarnham, Dublin 14",14,78 m²,2 Bed,53.289502,-6.2718793,"€ 398,000",End of Terrace
"49 Oak Rise, Clondalkin, Dublin 22",22,102 m²,3 Bed,53.3120849,-6.4026181,"€ 325,000",Terrace
"49 Shanganagh Vale, Cabinteely, Dublin 18",18,null,4 Bed,53.2538855,-6.1401767,"€ 899,950",Detached
"49 Shanrath Road, Santry, Dublin 9",9,113 m²,3 Bed,53.3897946,-6.2428556,"€ 365,000",Semi-D
"49 Trinity Plaza, Tara Street, Dublin 2",2,59 m²,2 Bed,53.3457034,-6.2550442,"€ 375,000",Apartment
"496 Mourne Road, Drimnagh, Dublin 12",12,null,2 Bed,53.3336242,-6.308304,"€ 345,000",Terrace
"4A Blessington Court, Dublin 7",7,61 m²,2 Bed,53.35661,-6.2659554,"€ 280,000",Apartment
"4B Balnagowan, Palmerston Park, Rathmines, Dublin 6",6,null,1 Bed,53.3124905,-6.2562288,"€ 315,000",Apartment
"4B The Bottleworks, Dermot O'Hurley Avenue, Irishtown, Dublin 4",4,63 m²,2 Bed,53.3405071,-6.2262763,"€ 385,000",Apartment
"5 Ardmore Close, Artane, Dublin 5",5,96 m²,3 Bed,53.3875666,-6.2227907,"€ 370,000",Semi-D
"5 Aston Court, Bedford Row, Dublin 2",2,245 m²,4 Bed,53.3461,-6.2616965,"€ 945,000",Duplex
"5 Ballintyre Woods, Ballinteer, Dublin 16",16,150 m²,4 Bed,53.2751369,-6.2518442,"€ 525,000",End of Terrace
"5 Benbulbin Avenue, Drimnagh, Dublin 12",12,null,2 Bed,53.3311986,-6.3114683,"€ 330,000",Terrace
"5 Bushfield Drive, Clondalkin, Dublin 22",22,153 m²,4 Bed,53.3090557,-6.4060971,"€ 449,950",Semi-D
"5 Chipping Row, Ongar, Dublin 15",15,67 m²,2 Bed,53.3966588,-6.4387904,"€ 205,000",Apartment
"5 Churchwell Square, Belmayne, Balgriffin, Dublin 13",13,188 m²,4 Bed,53.4062259,-6.1717192,"€ 450,000",End of Terrace
"5 Coolock Village, Coolock, Dublin 5",5,80 m²,2 Bed,53.3874757,-6.2009035,"€ 300,000",Terrace
"5 Daletree Drive, Ballycullen, Dublin 24",24,101 m²,3 Bed,53.2739387,-6.3340299,"€ 389,000",Semi-D
"5 Dangan Drive Kimmage Dublin 12, Kimmage, Dublin 12",12,145 m²,3 Bed,53.315184,-6.3154926,"€ 660,000",Semi-D
"5 Deansrath Avenue, Clondalkin, Dublin 22",22,82 m²,3 Bed,53.327872,-6.4217218,"€ 259,950",End of Terrace
"5 Distillery Road, Drumcondra, Dublin 3",3,86 m²,3 Bed,53.3633072,-6.2483973,"€ 475,000",Terrace
"5 Doonbeg House, Clare Village, Clarehall, Dublin 13",13,null,2 Bed,53.3999589,-6.1815845,"€ 199,950",Apartment
"5 Garville Mews, Off Rathgar Road, Rathgar, Dublin 6",6,62 m²,2 Bed,53.3151802,-6.2730636,"€ 525,000",Terrace
"5 Gilbert Road, South Circular Road, Dublin 8",8,108 m²,4 Bed,53.3341474,-6.27869,"€ 650,000",End of Terrace
"5 Glenbrook Road, Navan Road, Navan Road (D7), Dublin 7",7,100 m²,3 Bed,53.3631514,-6.304984,"€ 470,000",Semi-D
"5 Glencairn Lawn, The Gallops, Sandyford, Dublin 18",18,113 m²,3 Bed,53.2630386,-6.2064347,"€ 540,000",Semi-D
"5 Highfield Park, Dundrum, Dublin 14",14,205 m²,4 Bed,53.2913495,-6.2454413,"€ 1,150,000",Semi-D
"5 Hollybrook Road, Clontarf, Dublin 3",3,208 m²,5 Bed,53.3641257,-6.2185266,"€ 1,100,000",Terrace
"5 Home Farm Road, Drumcondra, Dublin 9",9,191 m²,4 Bed,53.371776,-6.2529044,"€ 825,000",Terrace
"5 Lansdowne Park, Ballsbridge, Dublin 4",4,102 m²,2 Bed,53.3344316,-6.2332949,"€ 875,000",End of Terrace
"5 Leahy's Terrace, Sandymount, Dublin 4",4,249 m²,3 Bed,53.3361959,-6.2203205,"€ 1,300,000",Terrace
"5 Liffey Street South, Inchicore, Dublin 8",8,42 m²,2 Bed,53.3436775,-6.3286298,"€ 225,000",Terrace
"5 Linnetfields Walk, Castaheany, Clonee, Dublin 15",15,null,2 Bed,53.3987334,-6.4391359,"€ 274,950",Terrace
"5 Marian Park, Rathfarnham, Dublin 14",14,108 m²,3 Bed,53.2905397,-6.2984258,"€ 625,000",Semi-D
"5 Moracrete Cottages, Crumlin Road, Crumlin, Dublin 12",12,94 m²,3 Bed,53.3293021,-6.3020966,"€ 325,000",Terrace
"5 O'Daly Road, Drumcondra, Dublin 9",9,67 m²,3 Bed,53.3741315,-6.2588461,"€ 350,000",Terrace
"5 Palmerston Park, Rathmines, Dublin 6",6,323 m²,5 Bed,53.3129461,-6.258108,"€ 2,195,000",Semi-D
"5 Poole Terrace, Dolphins Barn St, Dublin 8",8,57 m²,2 Bed,53.3347292,-6.290106,"€ 335,000",Terrace
"5 Riversdale View, Ballyboden Road, Rathfarnham, Dublin 14",14,56 m²,2 Bed,53.2916633,-6.2903042,"€ 450,000",Bungalow
"5 Riverside Avenue, Clonshaugh, Dublin 17",17,98 m²,3 Bed,53.399003,-6.2136192,"€ 345,000",Semi-D
"5 Saint John's Terrace, Mount Brown, Dublin 8",8,null,3 Bed,53.3413733,-6.2983464,"€ 400,000",Terrace
"5 Shannon Terrace, Kilmainham, Dublin 8",8,49 m²,2 Bed,53.3411665,-6.3031697,"€ 335,000",Terrace
"5 South Park, Foxrock, Dublin 18",18,160 m²,4 Bed,53.2688362,-6.1605743,"€ 730,000",Detached
"5 The Cherries Grange Wood Rathfarnham Dublin 16, Rathfarnham, Dublin 16",16,94 m²,4 Bed,53.2793728,-6.2672771,"€ 545,000",Semi-D
"5 Tower Court, St Johns Road, Sandymount, Dublin 4",4,43 m²,1 Bed,53.3247831,-6.2077502,"€ 325,000",Apartment
"5 Tranquility Grove, Artane, Dublin 5",5,114 m²,3 Bed,53.3929254,-6.2136719,"€ 395,000",Semi-D
"5 Vernon Drive, Clontarf, Dublin 3",3,121 m²,4 Bed,53.3700194,-6.195988,"€ 770,000",Semi-D
"5 Westbourne View, Clondalkin, Dublin 22",22,76 m²,3 Bed,53.3234516,-6.4213288,"€ 265,000",Terrace
"5 Woodlawn Court, Santry, Dublin 9",9,143 m²,3 Bed,53.4009099,-6.2305486,"€ 425,000",Semi-D
"50 Annfield Crescent, Castleknock, Dublin 15",15,91 m²,3 Bed,53.3738351,-6.4069565,"€ 350,000",End of Terrace
"50 Bargy Road, East Wall, Dublin 3",3,80 m²,2 Bed,53.3558058,-6.2319767,"€ 325,000",Terrace
"50 Cluain Shee Aikens Village Sandyford Dublin 18, Sandyford, Dublin 18",18,100 m²,4 Bed,53.2627024,-6.223267,"€ 485,000",Terrace
"50 Crawford Avenue, Glasnevin, Dublin 11",11,145 m²,3 Bed,53.3661758,-6.2624504,"€ 625,000",Terrace
"50 Eaton Square Terenure Dublin 6W, Terenure, Dublin 6",6,176 m²,4 Bed,53.3122708,-6.2865199,"€ 795,000",Terrace
"50 Ennel Park, Artane, Dublin 5",5,null,3 Bed,53.3871457,-6.1946708,"€ 319,950",Terrace
"50 Hunters Walk, Ballycullen, Dublin 16",16,97 m²,3 Bed,53.2708772,-6.3306037,"€ 405,000",Detached
"50 Knockaire, Knocklyon, Dublin 16",16,176 m²,4 Bed,53.2824208,-6.3154034,"€ 675,000",Detached
"50 Spencer House, Custom House Square, Dublin 1",1,65 m²,2 Bed,53.3498134,-6.2446272,"€ 355,000",Apartment
"50 Summerfield Lawn, Blanchardstown, Dublin 15",15,105 m²,3 Bed,53.3870142,-6.3919611,"€ 370,000",Semi-D
"50 The Steeples, Chapelizod, Dublin 20",20,62 m²,2 Bed,53.3433929,-6.3384955,"€ 225,000",Apartment
"50 Virginia Hall, Belgard Square West, Tallaght, Dublin 24",24,70 m²,2 Bed,53.2862932,-6.375471,"€ 250,000",Apartment
"50B Irishtown Road, Ringsend, Dublin 4",4,34 m²,1 Bed,53.3411826,-6.2254554,"€ 235,000",Apartment
"50C Irishtown Road, Ringsend, Dublin 4",4,31 m²,1 Bed,53.3411826,-6.2254554,"€ 240,000",Apartment
"51 Belmayne Avenue, Balgriffin, Dublin 13",13,null,2 Bed,53.4042611,-6.1704094,"€ 265,000",Apartment
"51 Carrigmore Park, Aylesbury, Tallaght, Dublin 24",24,90 m²,3 Bed,53.2729664,-6.3680809,"€ 319,000",Semi-D
"51 Georgian Village, Castleknock, Dublin 15",15,176 m²,5 Bed,53.3689215,-6.3577066,"€ 1,150,000",Detached
"51 Griffith Avenue, Drumcondra, Dublin 3",3,116 m²,3 Bed,53.3748786,-6.2469759,"€ 675,000",Terrace
"51 Hunters Hill, Hunters Wood, Ballycullen, Dublin 16",16,73 m²,2 Bed,53.2702038,-6.3287835,"€ 285,000",Duplex
"51 Kilcarberry Avenue, Clondalkin, Dublin 22",22,null,3 Bed,53.3173916,-6.4155638,"€ 279,000",Semi-D
"51 The Dargle, Prospect Hill, Finglas, Dublin 11",11,null,2 Bed,53.3804835,-6.2906337,"€ 239,950",Apartment
"51Trinity Square, Lombard Street East, Dublin 2",2,43 m²,1 Bed,53.3442985,-6.2488871,"€ 250,000",Apartment
"52 Beneavin Park, Glasnevin, Dublin 11",11,null,3 Bed,53.3894157,-6.2812693,"€ 380,000",Semi-D
"52 Beneavin Park, Glasnevin, Dublin 11",11,null,3 Bed,53.3894157,-6.2812693,"€ 380,000",Semi-D
"52 Blasket Square, Waterville, Blanchardstown, Dublin 15",15,116 m²,3 Bed,53.385679,-6.374582,"€ 295,000",Duplex
"52 Brookvale Downs, Rathfarnham, Dublin 14",14,82 m²,3 Bed,53.3025987,-6.2853513,"€ 550,000",Semi-D
"52 Cedar Brook Way, Cherry Orchard, Dublin 22",22,null,1 Bed,53.3370625,-6.378879,"€ 150,000",Apartment
"52 Cedar Brook Way, Cherry Orchard, Dublin 22",22,55 m²,1 Bed,53.3370625,-6.378879,"€ 150,000",Apartment
"52 Drimnagh Road, Drimnagh, Dublin 12",12,null,3 Bed,53.3248562,-6.3233103,"€ 425,000",Semi-D
"52 Ellensborough Lodge, Tallaght, Dublin 24",24,91 m²,3 Bed,53.2693108,-6.369902,"€ 295,000",End of Terrace
"52 Lee House, Custom House Square, IFSC, Dublin 1",1,null,2 Bed,53.349617,-6.243003,"€ 335,000",Apartment
"52 Merrion Square Dublin 2, Dublin 2",2,468 m²,4 Bed,53.3382419,-6.2477227,"€ 2,650,000",End of Terrace
"52 Merrion Strand, Sandymount, Dublin 4",4,65 m²,2 Bed,53.3206548,-6.2078872,"€ 470,000",Terrace
"52 Pembroke Cottages, Ringsend, Dublin 4",4,42 m²,2 Bed,53.3435596,-6.2267154,"€ 340,000",End of Terrace
"52 Raheen Avenue, Tallaght, Dublin 24",24,98 m²,3 Bed,53.284722,-6.3882843,"€ 325,000",End of Terrace
"52 South Hill Dartry Dublin 6, Dartry, Dublin 6",6,157 m²,4 Bed,53.3092955,-6.2572248,"€ 1,100,000",Semi-D
"52 South Lotts Road, Ringsend, Dublin 4",4,73 m²,2 Bed,53.3398212,-6.2326497,"€ 475,000",Terrace
"52 St James's Road, Walkinstown, Dublin 12",12,77 m²,3 Bed,53.3128266,-6.3322575,"€ 395,000",End of Terrace
"528 North Circular Road, North Circular Road, Dublin 1",1,92 m²,3 Bed,53.3580881,-6.2541859,"€ 395,000",Terrace
"53 Ayrfield Drive, Ayrfield, Dublin 13",13,100 m²,4 Bed,53.3935888,-6.1897673,"€ 425,000",Semi-D
"53 Dundrum Gate Dundrum Dublin 16, Dundrum, Dublin 16",16,84 m²,2 Bed,53.2881195,-6.2458197,"€ 375,000",Apartment
"53 Floraville Avenue, Clondalkin, Dublin 22",22,109 m²,3 Bed,53.3186765,-6.3872805,"€ 350,000",Semi-D
"53 Hampton Green, Dublin 7",7,128 m²,3 Bed,53.3613324,-6.3037949,"€ 450,000",Semi-D
"53 Lambourn Avenue, Clonsilla, Dublin 15",15,108 m²,4 Bed,53.3826175,-6.4162744,"€ 399,000",Semi-D
"53 Saint Brendan's Park, Coolock, Artane, Dublin 5",5,null,5 Bed,53.3877179,-6.1981013,"€ 375,000",Semi-D
"53 Sandyhill Gardens, Ballymun, Dublin 9",9,90 m²,4 Bed,53.3973758,-6.2731443,"€ 230,000",Terrace
"532 North Circular Road, Dublin 1",1,null,6 Bed,53.3580388,-6.2539888,"€ 425,000",Terrace
"539A Collins Avenue West, Whitehall, Dublin 9",9,116 m²,4 Bed,53.3840589,-6.2498348,"€ 475,000",Detached
"53b Aras Na Cluaine, Clondalkin, Dublin 22",22,null,2 Bed,53.3271536,-6.3832399,"€ 195,000",Apartment
"54 16 Kings Inns Street, Dublin 2",2,70 m²,2 Bed,53.3493534,-6.242606,"€ 350,000",Apartment
"54 Aldemere Drive, Clonsilla, Dublin 15",15,null,3 Bed,53.3875108,-6.4265186,"€ 385,000",Semi-D
"54 Carnew Street, Stoneybatter, Dublin 7",7,72 m²,2 Bed,53.3548173,-6.292259,"€ 420,000",Terrace
"54 Crawford Avenue, Glasnevin, Dublin 11",11,178 m²,3 Bed,53.3660768,-6.2625285,"€ 775,000",Terrace
"54 Domen Ct, Ballymun, Dublin 9",9,94 m²,5 Bed,53.3988768,-6.2705522,"€ 229,000",Semi-D
"54 Ellenfield Road, Whitehall, Dublin 9",9,null,3 Bed,53.3865775,-6.2384511,"€ 325,000",Terrace
"54 Jamestown Road (Plus Site), Finglas, Dublin 11",11,77 m²,4 Bed,53.3916111,-6.2969404,"€ 370,000",Bungalow
"54 Jamestown Road, Finglas, Dublin 11",11,77 m²,4 Bed,53.3916111,-6.2969404,"€ 370,000",Semi-D
"54 Middle Third, Killester, Dublin 5",5,119 m²,3 Bed,53.3753861,-6.2040457,"€ 699,000",Detached
"54 Niall Street, Stoneybatter, Dublin 7",7,null,2 Bed,53.3526549,-6.2886646,"€ 374,900",Terrace
"54 Niall Street, Stoneybatter, Dublin 7",7,null,2 Bed,53.3526549,-6.2886646,"€ 374,900",Detached
"54 Saint Peter's Crescent, Walkinstown, Dublin 12",12,123 m²,3 Bed,53.3118104,-6.3250482,"€ 385,000",End of Terrace
"54 Shackleton House, Archers Wood, Clonee, Dublin 15",15,null,2 Bed,53.4032003,-6.4091791,"€ 275,000",Apartment
"54 Shanard Road, Santry, Dublin 9",9,116 m²,4 Bed,53.3904063,-6.256751,"€ 450,000",Semi-D
"54 St Margaret's Road, Hampton Wood., D11KX96, Finglas, Dublin 11",11,144 m²,4 Bed,53.406434,-6.2908779,"€ 335,000",Terrace
"540 Collins Avenue West, Whitehall, Dublin 9",9,null,3 Bed,53.3843224,-6.2489328,"€ 449,950",End of Terrace
"55 Cedar Brook Avenue, Cherry Orchard, Ballyfermot, Dublin 10",10,63 m²,2 Bed,53.3369993,-6.3817887,"€ 179,950",Apartment
"55 Clarence Mangan Road, South Circular Road, Dublin 8",8,90 m²,2 Bed,53.3348376,-6.2776797,"€ 500,000",End of Terrace
"55 Corofin House, Clare Village, Malahide Road, Clarehall, Dublin 17",17,null,2 Bed,52.9448216,-9.0640874,"€ 250,000",Apartment
"55 Grand Canal Street Upper Ballsbridge Dublin 4, Ballsbridge, Dublin 4",4,178 m²,3 Bed,53.3374689,-6.2357855,"€ 975,000",Terrace
"55 Gulistan Cottages, Rathmines, Dublin 6",6,58 m²,2 Bed,53.3245381,-6.2622429,"€ 495,000",End of Terrace
"55 The Red Mill, North Brunswick Street, Smithfield, Dublin 7",7,60 m²,2 Bed,53.3504138,-6.2780647,"€ 275,000",Apartment
"55 Wellington Road, Ballsbridge, Dublin 4",4,288 m²,4 Bed,53.3297451,-6.2420588,"€ 2,750,000",Terrace
"56 Bushy Park House, Terenure, Dublin 6W",6W,131 m²,3 Bed,53.3017886,-6.2965723,"€ 595,000",Apartment
"56 Cashel Avenue, Crumlin, Dublin 12",12,81 m²,2 Bed,53.3275812,-6.3037719,"€ 320,000",End of Terrace
"56 Castle Avenue, Clontarf, Dublin 3",3,140 m²,4 Bed,53.3648658,-6.2046006,"€ 695,000",Semi-D
"56 Hampton Wood Avenue, Hampton Wood, Finglas, Dublin 11",11,48 m²,1 Bed,53.4045062,-6.286146,"€ 165,000",Apartment
"56 Lower Churchtown Road, Churchtown, Dublin 14",14,96 m²,3 Bed,53.2913495,-6.2454413,"€ 725,000",Terrace
"56 Milltown Hall, Mount St Annes, Milltown, Dublin 6",6,109 m²,2 Bed,53.3139984,-6.2504575,"€ 675,000",Apartment
"56 Red Arches Avenue, Baldoyle, Dublin 13",13,null,3 Bed,53.4012317,-6.1413994,"€ 349,950",Detached
"56 The Belfry, Belarmine Copse, Stepaside, Dublin 18",18,68 m²,2 Bed,53.2613316,-6.2245135,"€ 295,000",Apartment
"56 The Ramparts, Cabinteely, Dublin 18",18,null,2 Bed,53.2504298,-6.1439227,"€ 339,950",Apartment
"56 West Road East Wall Dublin 3, East Wall, Dublin 3",3,75 m²,2 Bed,53.355603,-6.2385773,"€ 360,000",Terrace
"57 Collinswood, Collins Avenue, Drumcondra, Dublin 3",3,80 m²,3 Bed,53.380501,-6.2329408,"€ 405,000",Semi-D
"57 Derrynane Gardens, Sandymount, Dublin 4",4,108 m²,3 Bed,53.3383085,-6.2278468,"€ 675,000",Terrace
"57 Knockmore Park, Tallaght, Dublin 24",24,null,3 Bed,53.2764841,-6.3892124,"€ 245,000",Terrace
"57 Landscape Park, Churchtown, Dublin 14",14,145 m²,3 Bed,53.2988628,-6.2623823,"€ 725,000",Semi-D
"57 Lombard Street West, Portobello, Dublin 8",8,152 m²,5 Bed,53.333968,-6.2720639,"€ 725,000",Terrace
"57 Newbury Avenue, Clonshaugh, Dublin 17",17,107 m²,3 Bed,53.402357,-6.2130142,"€ 380,000",Semi-D
"57 Nutley Avenue, Donnybrook, Dublin 4",4,136 m²,4 Bed,53.3172706,-6.2207554,"€ 1,375,000",Semi-D
"57 South Circular Road, Portobello, Dublin 8",8,140 m²,4 Bed,53.3318258,-6.2719761,"€ 695,000",End of Terrace
"57 Temple Hall, Mount St Annes, Milltown, Dublin 6",6,51 m²,1 Bed,53.312273,-6.2491832,"€ 365,000",Apartment
"57 Woodford Court, Clondalkin, Dublin 22",22,null,3 Bed,53.320046,-6.3775441,"€ 289,000",End of Terrace
"58 Churchwell Drive, Belmayne, Balgriffin, Dublin 13",13,70 m²,2 Bed,53.4067,-6.1709634,"€ 269,950",Apartment
"58 Elmfield Avenue, Clarehall, Dublin 13",13,94 m²,3 Bed,53.3989668,-6.1705144,"€ 375,000",Semi-D
"58 Glentow Road, Whitehall, Dublin 9",9,75 m²,2 Bed,53.3857234,-6.2488073,"€ 350,000",Terrace
"58 Grosvenor Road, Rathgar, Dublin 6",6,304 m²,5 Bed,53.3190947,-6.2712937,"€ 1,100,000",Terrace
"58 Macroom Road, Coolock, Dublin 17",17,110 m²,4 Bed,53.3973409,-6.1989161,"€ 375,000",Terrace
"58 Newbancroft Hall, Tallaght, Dublin 24",24,null,3 Bed,53.287775,-6.357701,"€ 350,000",Detached
"58 Rathlyon Grove, Ballycullen, Dublin 24",24,92 m²,3 Bed,53.2744916,-6.3333077,"€ 385,000",Semi-D
"58 Rothe Abbey, Kilmainham, Dublin 8",8,64 m²,2 Bed,53.3379202,-6.3046884,"€ 350,000",Terrace
"58 The Demesne, Killester, Dublin 5",5,77 m²,2 Bed,53.3729306,-6.2029231,"€ 595,000",Bungalow
"580 Collins Avenue, Whitehall, Dublin 9",9,152 m²,5 Bed,53.3802778,-6.2369444,"€ 500,000",Semi-D
"587 Carnlough Road, Cabra West, Cabra, Dublin 7",7,98 m²,3 Bed,53.3709187,-6.3033161,"€ 324,950",Terrace
"589 South Circular Road, Kilmainham, Dublin 8",8,140 m²,3 Bed,53.3390724,-6.3061488,"€ 795,000",Detached
"58A Olcovar, Shankill, Dublin 18",18,110 m²,3 Bed,53.226494,-6.1265227,"€ 545,000",Detached
"59 Griffith Parade, Glasnevin, Dublin 11",11,null,3 Bed,53.3825678,-6.2818589,"€ 324,950",End of Terrace
"59 McKee Road, Finglas, Dublin 11",11,null,3 Bed,53.3927526,-6.2913884,"€ 320,000",Terrace
"59 Terenure Road North, Terenure, Dublin 6W",6W,124 m²,4 Bed,53.3120739,-6.282313,"€ 575,000",Terrace
"59 The Courtyard, Clonsilla, Dublin 15",15,76 m²,2 Bed,53.3809586,-6.4028497,"€ 225,000",Apartment
"59 Wilfield Road, Sandymount, Dublin 4",4,198 m²,3 Bed,53.3257714,-6.2170435,"€ 1,150,000",End of Terrace
"6 Arranmore, 13/17 Pembroke Road, Ballsbridge, Dublin 4",4,38 m²,1 Bed,53.3324643,-6.2425468,"€ 250,000",Apartment
"6 Beechfield Meadows, Clonee, Dublin 15",15,null,3 Bed,53.4046646,-6.4376039,"€ 309,950",End of Terrace
"6 Brian Avenue, Marino, Dublin 3",3,102 m²,3 Bed,53.3676496,-6.2310941,"€ 395,000",Terrace
"6 Brooklawn, Dungriffin Road, Howth, Dublin 13",13,70 m²,2 Bed,53.3801118,-6.0605789,"€ 380,000",Apartment
"6 Bushy Park House, Terenure, Dublin 6",6,256 m²,5 Bed,53.3017886,-6.2965723,"€ 1,250,000",Detached
"6 Clifton Mews, Mountpleasant Terrace, Ranelagh, Dublin 6",6,90 m²,3 Bed,53.3285042,-6.2597781,"€ 650,000",Semi-D
"6 Cromwellsfort Road, Walkinstown, Dublin 12",12,102 m²,4 Bed,53.3168701,-6.3321957,"€ 450,000",End of Terrace
"6 Dawson House, Deans Court, Patrick Street, Christchurch, Dublin 8",8,46 m²,2 Bed,53.3393152,-6.2728018,"€ 295,000",Apartment
"6 Dundrum Wood, Ballinteer Road, Dundrum, Dublin 14",14,null,3 Bed,53.2855649,-6.2467632,"€ 525,000",End of Terrace
"6 Eastmore, Bushy Park Road, Terenure, Dublin 6",6,69 m²,2 Bed,53.3071911,-6.2807918,"€ 395,000",Apartment
"6 Elder Heath Downs, Kiltipper, Dublin 24",24,80 m²,2 Bed,53.2722893,-6.3834501,"€ 315,000",Terrace
"6 Eugene Street, Dublin 8",8,50 m²,3 Bed,53.3360986,-6.2856575,"€ 325,000",Terrace
"6 Fingal Place, Stoneybatter, Dublin 7",7,null,2 Bed,53.3540908,-6.285569,"€ 339,950",End of Terrace
"6 Foxrock Crescent, Foxrock, Dublin 18",18,99 m²,3 Bed,53.2762866,-6.1707217,"€ 595,000",Terrace
"6 Grange Park Close, Raheny, Dublin 5",5,120 m²,3 Bed,53.3863861,-6.16456,"€ 420,000",Semi-D
"6 Grangebrook Vale, Rathfarnham, Dublin 14",14,120 m²,4 Bed,53.3004978,-6.2838544,"€ 525,000",Semi-D
"6 Grattan Court, Grattan Street, Dublin 2",2,68 m²,2 Bed,53.3393362,-6.2436839,"€ 400,000",Apartment
"6 Great Western Villas, Phibsborough, Dublin 7",7,60 m²,2 Bed,53.3584617,-6.2759285,"€ 325,000",Terrace
